岗位,公司,城市,工资,工作经验,学历,福利,公司性质,公司规模,岗位要求
软件开发工程师（大数据方向）,广东博士科技有限公司,广州-黄埔区,1-2万/月,3-4年经验,本科,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 节日福利 定期体检,民营公司,500-1000人,1、负责参与搭建数据仓库平台，完成数据开发、测试，配置，版本管理等相关工作;2、参与数据平台架构设计，完成相关开发任务详细设计、代码优化;3、参与、负责相关模块需求收集、分析、数据清洗，数据表结构、逻辑层详细设计等;4、负责维护数据相关平台及工具; 按照需求提供对外数据输出工作，如报表、对外接口等;5、跟相关工作团队协作完成系统的开发工作，保持良好的沟通关系，推动项目顺利进行。任职要求：1、本科以上学历，3年以上的数据仓库相关项目开发的工作经验，对数据仓库建模有深刻的认识；2、熟悉数据仓库各类模型建模理论，了解数据仓库数据分层架构，熟悉数据仓库设计模型；3、精通至少一种主流关系数据库，精通SQL编程，有SQL Server数据库开发经验者优先；4、熟悉至少一门主流编程语言Java/Python;5、精通ETL(Informatica 优先)、数据仓库、多维分析、即席查询等工具原理与技术架构者优先； 6、熟悉Hadoop、Hive、Spark等分布式计算平台使用经验者优先；7、具备良好的团队合作精神，良好的分析能力与沟通技巧； 8、具有敏捷开发经验;
软件高级工程师（物联网方向）,丝路视觉科技股份有限公司深圳公司,深圳-福田区,2-2.5万/月,5-7年经验,本科,五险一金 员工旅游 定期体检 绩效奖金,上市公司,1000-5000人,岗位职责:1、参与软件项目需求评估，负责系统设计、开发、测试，并能够高质量地按时完成设计和开发任务；2、参与解决项目中的技术难点和疑难问题，协助其他团队成员解决技术问题；3、参与系统架构设计，负责落实系统安全性、稳定性、高伸缩性、高性能、易维护、易用性等方面的设计要求；4、负责项目核心代码编写、系统性能优化，参与系统技术支持，解决系统功能和性能方面的问题。任职资格:1、本科以上学历，不少于5年Java开发经验，精通Springboot/SpringCloud/NodeJS等后端技术；2、具有安全性设计能力，对于高并发、高可用、高性能、大数据处理有过实际项目经验，有移动互联网、物联网开发经验者优先；3、熟悉常见物联网通信协议、熟悉物联网组网、IP组网、TCP/UDP/HTTP/MQ等协议对接；4、精通SQL数据库、NoSQL、大数据等数据存储、检索、分析、调优技术；5、熟悉常见的前端技术，如：HTML5，CSS3，JavaScript、Vue、React等；6、熟练掌握Linux服务器的常用操作，能快速学习、掌握新技术，细心专注、责任心强；
软件开发工程师（物联网）,上海轶伦环境科技有限公司,上海-松江区,0.8-1.5万/月,2年经验,本科,五险一金 出国机会 专业培训 绩效奖金 年终奖金 定期体检 做五休二 团建 年底双薪 交通补贴,民营公司,少于50人,"工作地点在：松江漕河泾园区内，通勤距离不适者、不能线下来面试的、找***的，请勿投！！！职责描述：1、负责物联网项目整体设计、体系及其标准制定和功能模块设计；2、负责物联网数据传输协议技术开发； 3、解决项目当中遇到的问题，进行系统性能优化，安全加固，保证平台安全、稳定、快速运行；4、及时处理和解决开发过程中出现的技术问题，并向主管提供技术维护和解决方案；5、完成技术文档资料的整理和归档工作；6、参与部门新技术的培训和学习，不断提高自身技术水平； 任职要求：1、本科以上学历，具有3年以上java物联网应用的相关项目开发经验；2、有物联网硬件对接平台的相关经验；3、Java基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；4、精通Spring、SpringMVC等框架的设计思想和实现方式；5、有一定前端经验，对前端开发框架和类库，如Vue，jQuery等有一定了解，能开发常见的web页面；6、熟练掌握基于网络通信协议，如TCP、UDP、MQTT以及Socket等的编程；7、精通物联网技术原理，熟悉物联网相关技术趋势,熟悉物联网低功耗广域组网技术（如NB-IoT，LoRa）有相关开源项目经验优先；8、熟悉无线传感网络、以太网、现场总线等通讯技术，了解ZigBee、Wi-Fi、蓝牙等技术；9、熟悉Linux下的常用命令；10、有物联网行业项目经验优先（智能家居、智能控电）高新技术企业，氛围超级好，老板Nice，同事很Cute，多元化员工生活；五险一金，各种带薪假期，病假，婚假，产假，男员工陪产假等；五天八小时，周末双休工作制，全勤奖金、生日福利、节日福利统统都有；入职培训，产品培训等培训课程；“数不胜数”的高技能，优秀员工带你晋升升级；绩效奖金，年度优秀员工、不定时加薪、年终奖+13薪统统都有；"
AI人工智能实施工程师(软件),北京联动北方科技有限公司,武汉-洪山区,1-1.5万/月,2年经验,本科,五险一金 补充医疗保险 餐饮补贴 绩效奖金 股票期权,民营公司,少于50人,--职位编号021-------AI人工智能实施工程师(Java)【公司介绍】公司名称：北京联动北方科技有限公司公司性质：AI人工智能、IT技术开发/服务公司位置：武汉市洪山区珞瑜路889号光谷国际广场A座902公司规模：0~99人【岗位职责】1、实现上级部门分派的各项实施和二次开发任务(及其文档、汇总工作)；2、能够有独立处理和解决所负责的任务的能力，思路清晰；3、能够承受一定工作压力，具有良好的团队协作精神；4、能够承受一段时间的异地出差，进行客户现场处置工作。【教育背景】1、计算机、软件工程或相关专业本科或以上学历，CET-4以上；2、硕士研究生及以上学历者优先。【技能要求】1、具有参与过大型项目的开发经验，精通常用算法，有数据结构方面专业基础；2、精通java(尤其是J2EE)，，熟练掌握Javascript等Web脚本语言(精通jquery/ajax者优先)；3、熟悉MVC模式，了解Spring/Struts/Hibernate等常用开源框架；4、熟悉Unix(含Linux) 环境及常用命令；5、熟悉数据库Oracle/Mysql/SqlServer中至少一种；6、熟悉Tomcat/Weblogic等服务器软件；7、理解项目开发的基本流程，有良好、规范的编码习惯，能编写相关技术文档；【其他要求】1.富于团队合作精神；2. 能接受一定的短中期出差；【职位待遇】1、月薪1万起（北京和广州公司调高10%~20%取整），根据面试结果和工作年限浮动；2、另有绩效奖金与补助；3、五险一金等正规福利；最近市场上很火的“聊天助理”，属公司旗下产品，如有意，请发简历至hr@landingbj.com；
大数据开发工程师（软件方向）,宜昌创洲数据科技有限公司,宜昌,1-1.5万/月,在校生/应届生,本科,,民营公司,,计算机软件、大数据、物联网、云计算本科及以上，15万元/年
软件工程师(物联网),深圳市同鑫科技有限公司,深圳-福田区,6-8千/月,2年经验,大专,五险一金 免费班车 员工旅游 专业培训,民营公司,50-150人,"1、负责工业互联网平台整体架构技术方案的制定，负责技术组件选型、架构开发、指导开发团队使用。2、负责设计终端接入平台与应用的架构设计，包括体系，标准制定，功能模块设计，详细设计和功能开发。3、负责物联网数据采集层，数据传输层，云服务层，业务用用层的数据传输协议及接口规范定义及云平台架构搭建，并制定方案。4、参与软件需求分析，负责应用需求实现软件架构设计，功能规划和相关接口开发设计，为在线项目提供技术支撑。5、负责与应用开发，大数据及云存储的技术接口设计。 职位要求：1、大专以上学历、计算机专业相关专业，2、熟练掌握设备通讯接口协议至少3种，如：HTTPS，SOCKET,MQTT，RS485，Modbus，Bacnet、CoAP，OPC等；有windows、linux运维经验。3、熟练掌握java有大数据高并发处理能力，熟悉多种设计模式并能把设计模式合理地引入开发实践，理解服务器性能、负荷与各种程序代码的相互关系。4、熟悉主流数据库，如ORACLE、MySQL，熟练使用PL/SQL语言，能够编写存储过程和触发器，能独立按照需求进行数据库表结构设计。5、熟练使用Spring/SpringBoot/SpringCloud/mybatis等主流Java框架并熟悉其实现原理；熟悉前端websocket开发，熟悉网络编程和多线程等技术，掌握常见的数据结构和算法"
软件高级后端工程师(IOT),深圳市中和智通智能科技有限公司,深圳-宝安区,2-2.5万/月,5-7年经验,本科,五险一金 股票期权 出国机会 弹性工作 餐饮补贴 交通补贴 绩效奖金,民营公司,少于50人,"岗位职责：1、负责公司物联网平台技术架构体系设计，能独立带领团队完成独立核心模块的设计开发；2、独立进行需求分析及评审、制定开发规范和技术标准，编写概要设计、详细设计、接口设计等相关文档；3、负责系统架构设计,系统服务及接口设计、数据库设计、公共服务的编码实现，将架构规范和标准落实到项目中；4、负责系统核心功能的编码实现，解决项目开发中遇到的技，术问题，指导团队成员的开发工作；5、持续重构、优化、改进系统的设计和编码实现，提升系统的整体性能和稳定性；任职要求:1、 有团队管理经验，有系统架构设计经验和思维。熟练掌握微服务模式下的开发设计，并能熟练应用；2、 有项目管理经验，熟练掌握敏捷开发并能根据业务发展设计出合适的开发模式；3、 有比较强的团队内外协同能力；4、JAVA基础扎实，对JVM内存模型、Java多线程、JAVA NIO，JVM性能调优等技术有深入研究；5、熟悉J2EE技术体系及主流的开源框架‘(Spring)，能熟练使用SpringBoot+Mybatis或者S；pring+SpringMV；C+Mybatis框架进行系统开发；6、熟练使用MySQL数据库并具有SQL调优经验，精通数据库设计；熟练掌握Redis、MongoDB等常用NoSQL技术并具有实战经验；7、熟悉分布式系统的设计和应用，熟悉分布式缓存、消息、负载均衡,流量控制等机制和实现;8、本科及以上学历，5年以上工作经验。iot物联网行业水电表及酒店管理经验优先，优秀者待遇面谈。"
软件开发工程师（物联网）,湖南铭记今泽科技有限公司,长沙,1.5-1.8万/月,5-7年经验,本科,,民营公司,50-150人,职位描述：【岗位职责】1、规划公司IoT技术发展方向和路线，制定公司IoT平台建设思路和策略，设计系统整体技术架构及技术选型；2、精通物联网解决方案所需关键技术、体系架构、设计模式、生态构建；3、独立完并实现成公司***版本物联网平台的规划、设计和代码开发实现；4、对技术人员管理有自己想法，产品***版本上线后能组建团队进行后续版本的优化、升级和迭代。【任职要求】1、统招本科以上计算机、自动化相关专业学历；2、工作5年以上，至少3年以上物联网、互联网或大型公司工作经验；3、具备5年以上的java开发经验，熟练掌握JAVA开发框架(Spring Boot、mybatis、Spring Cloud 、Dubbo 、Ehcahe 、Redis、RabbitMq、Netty)；4、精通使用linux、docker；5、了解物联网硬件、网关、云端平台的软件系统架构；6、熟悉物联网行业应用及相关解决方案，有智慧餐厅、物联网解决方案工作经验者优先。7、具有物联网云开发、部署经验，熟悉物联网各种框架协议的开发和流程管理经验，有实施企业大型项目经验，具备较强组织协调能力者优先；8、有代码洁癖，具备规范的技术文档整理和存档经验。
软件开发工程师（物联网方向）,深圳市德立云物联网科技有限公司,深圳-南山区,1.5-2万/月,3-4年经验,本科,餐饮补贴 年终奖金 五险一金 节日福利 带薪年假 员工旅游,民营公司,50-150人,职位描述：1、参与公司平台及应用产品功能设计；2、负责平台后台架构、业务逻辑和数据存储的设计和开发；3、负责平台与设备端、Web端、移动端的对接，保证整个系统的安全、稳定、高性能；4、负责平台各应用模块的开发、测试和优化工作；5、负责软件研发过程相关文档的编写及维护工作。任职要求：1、本科以上学历，扎实的计算机基础，优秀编码能力；2、3年以上java技术栈使用经验，熟悉常用的设计模式，具有良好的编程习惯和文档编写能力；3、熟悉Java主流框架，包括Spring、SpringMVC、SpringBoot、MyBatis等；4、熟悉主流数据库；5、熟悉分布式系统设计和应用，熟悉分布式、缓存、消息等机制，能对分布式常用技术进行合理应用及解决方案；6、有良好的规范编程习惯和文档编写习惯优先。
软件开发工程师（大数据中心）,中国铁道科学研究院电子计算技术研究所,北京-海淀区,1-2万/月,1年经验,本科,五险一金 绩效奖金 带薪年假 周末双休,国企,500-1000人,"1. 计算机或软件工程相关专业本科及以上学历（学信网可查），1年以上Java开发工作经验。2. 精通JAVA开发语言、熟练掌握Eclipse，IDEA开发工具；精通DOM、J2EE、Apache、JSP、Servlet、Ajax、VUE、HTML5等Web开发相关技术；熟悉主流数据库，熟练掌握SQL。 3.Java基础知识扎实；熟练使用Spring、SpringMVC、Mybatis、Springboot、Spring Cloud等主流框架。 4.熟练使用Docker、tomcat、maven、git等各种中间件。 5.熟悉主流数据库，并可做数据库优化。 6.熟练使用WebService、Restful等接口技术,有系统数据对接经验者优先。7.熟练应用linux操作系统，可以在其平台上进行开发、测试和部署。 8.有高并发、高可用分布式系统开发、以及系统性能调优经验。 9. 做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力，能够承担重任，承受较强的工作压力。"
高级软件工程师（大数据风控）,上海钢银电子商务股份有限公司,南昌,1-1.5万/月,3-4年经验,本科,五险一金 交通补贴 餐饮补贴 团队拓展 专业培训 定期体检 扁平管理 员工旅游 绩效奖金 年终奖金,上市公司,1000-5000人,"岗位职责1、承担大数据、风控核心功能代码编写，重点项目架构设计开发；2、深入理解大数据、风控业务需求，分析和发现系统的优化点，负责推动大数据、风控产品性能和架构优化；3、新人指导、培训及CodeReview，主导技术难题攻关，提升团队整体技术水平；任职要求1、本科及以上学历，3-5年以上JAVA项目开发经验，熟悉设计模式，具有面向对象的分析和设计的能力；具有丰富的JAVAEE项目设计开发经验；2、精通Servlet、Spring、Hibernate、iBatis、Velocity开发，对SOA模式有深入理解，对虚拟机及Linux下的开发环境有较深厚的开发经验；3、熟悉UML，能运用UML的方法和工具进行面向对象的分析和设计；4、熟悉Oracle,MySql数据库,对数据库有较强的设计能力，同时熟悉大数据相关技术；5、熟悉Maven项目配置管理工具，熟悉Tomcat应用服务器，熟悉高并发处下的性能优化6、熟悉网络编程，具有设计和开发对外API接口经验和能力；7、具有良好的沟通，团队协作、计划和创新的能力；8、具有大数据、风控等相关工作经验者优先。福利待遇：1、带薪培训：系统化培训体系，新员工带薪培训；2、社会保险：入职即提供完整的五险一金；3、各类补贴：享受员工的交通补贴、午餐津贴等；4、带薪年假：按照劳动法实行带薪年休假制度；5、健康体检：每年享受年度员工体检；6、拓展旅游：员工拓展活动"
