job_name,company_name,job_city,salary,publish_detail,company_type,company_scale,industry,job_duty,发布日期
GNSS数据分析师,中国科学院上海天文台,上海-徐汇区,10-15万/年,上海-徐汇区 无需经验 硕士 招1人 03-14发布,事业单位,150-500人,"学术/科研,教育/培训/院校",招聘部门：天文地球动力学研究中心 部门介绍：详细情况请见http://ucar.shao.cas.cn/ 岗位名称：GNSS数据分析师 工作地点：上海市徐汇区 招聘人数：1人 1. 负责GNSS数据处理软件的处理策略优化与模型更新工作； 2. 负责GNSS系统轨道、钟差、SINEX、EOP等产品生产与质量控制； 3. 负责上述产品的日报/周报/年报等分析报告的撰写； 4. 负责课题组项目报告、规范等文档的撰写； 5. 参与研发地球参考框架建立技术中GNSS面临的难点； 6. 处理课题有关经费预算和财务验收报告撰写及报销事宜等，完成领导和项目组交办的其他任务。 1. 全日制硕士研究生及以上学历，测绘工程、大地测量学与测量工程、测绘科学与技术等相关专业； 2. 熟悉Linux系统，bash/csh等脚本编程语言，了解C/C++/FORTRAN/Matlab等开发语言； 3. 具备大学英语六级及以上英语能力； 4. 具备良好的问题分析解决能力、较强的钻研能力、良好的沟通与团队协作能力； 5. 能吃苦耐劳，承受一定的工作压力； 6. 应往届生均可，有相关工作经验者优先。 1、本岗位招满即止； 2、应聘者请提供个人简历、学历学位证书及其他反映个人能力的材料扫描件（原件面试时提供）； 3、通过资格审查的应聘人参加竞聘面试，面试时间和地点另行通知。未通过资格审查者将不通知参加面试，相关材料恕不退回。 1、邮寄地址：上海市徐汇区南丹路80号，人事教育处，邮编：200030 2、E-mail：rjc@shao.ac.cn,2026-03-14
大数据分析师,广州岭南国际企业集团有限公司,广州-越秀区,26-35万/年,广州-越秀区 5-7年经验 本科 招1人 03-14发布,国企,10000人以上,多元化业务集团公司,1.负责岭南集团数据中台管理标准体系的制定，如版本管理、代码管理、分支策略、对应规则、并推广实施； 2.负责数据中台管理平台日常管理流程的设计、修改，并编制管理报告； 3.负责数据中台管理平台的日常运维、巡检、故障排查，并编制运维报告； 4.负责建立和维护数据中台管理平台资料库，整理归档，并编制相关文档； 5.负责根据业务需求进行主数据建模，优化主数据业务模型，定义业务属性间的关系、含义； 6.负责定期对数据质量和完整性进行验证，并提交数据质量报告； 7.负责与业务部门进行有效沟通，对数据中台需求进行响应、处理，包括新上线业务系统、单位和人员日常新增调整等； 8.负责数据中台管理平台与业务系统数据交互异常问题分析处理； 9.领导交办的其他工作事项。 1.本科及以上学历，计算机相关专业； 2.具有2年以上与数据管控相关的系统运维管理经验，具有大型综合企业工作经验者优先； 3.熟悉Oracle、SQL、MySQL等常用数据库，同时具有SQL脚本编写能力； 4.熟悉linux/Windows操作系统、服务器配置、系统管理等操作，具备shell编写能力； 5.具有较强的安全意识、丰富的专业知识、分析解决问题能力、灵活应变能力； 6.良好的沟通能力、抗压能力、责任心、职业操作和团队合作精神。,2026-03-14
数据开发工程师,西安盈达信息科技有限公司,西安-雁塔区,0.8-1.5万/月,西安-雁塔区 3-4年经验 本科 招9人 03-14发布,民营公司,150-500人,计算机软件,岗位职责： 1、负责公司产品的数据库设计； 2、负责相关业务的数据模型设计； 3、设计并优化数据库物理建设方案； 4、制定数据库备份和恢复策略及工作流程与规范； 5、在项目实施中，承担数据库的实施工作； 6、针对数据库应用系统运行中出现的问题，提出解决方案； 7、为应用开发、系统知识等提供技术咨询服务。 任职要求： 1、通信、电子工程、自动化、计算机其相关专业本科以上学历； 2、掌握数据库技术的基本概念、原理、方法和技术； 3、熟练使用SQL语言实现数据库操作； 4、熟练ETL存储过程开发（Teradata、Oracle、DB2、mysql等）； 5、具备数据库系统安装、配置及数据库管理与维护的基本技能； 6、了解数据库应用系统的生命周期及其设计、开发过程； 7、熟悉常用的数据库管理和开发工具，具备用指定的工具管理和开发数据库应用系统的能力； 8、能适应短期出差 9、具有严谨认真的工作态度，对枯燥作业有耐心。,2026-03-14
智慧医疗大数据工程师202001,鹏城实验室,深圳-南山区,,深圳-南山区 1年经验 硕士 招若干人 03-14发布,事业单位,1000-5000人,学术/科研,"1.负责大数据平台的基础环境搭建与性能优化，完成平台的构建与维护、实时流计算平台、分布式调度、可视化报表等平台的架构与研发； 2.对各种开源框架进行深入的代码剖析和优化； 3.参与大数据技术方案评审。 硕士及以上学历，计算机、信号处理、自动化等相关专业，具备一定的模式识别、图像处理等理论知识；？？ 具有3年或以上的分布式计算平台研发工作经验 英语六级以上，从事医学研究型项目经历者有限；？ 1.对大数据相关组件：Hadoop、Spark、Hbase、Hive、Flink、Kafka、Flume等架构与底层实现有深入理解，具备相应的定制和研发能力，尤其需要精通Flink框架； 2.具备构建稳定的大数据基础平台的能力，具备数据收集、数据清洗、数据仓库建设、实时流计算等系统研发经验； 3.熟悉shell,python等脚本语言。熟悉MYSQL或其他大型数据库，有一定SQL编码及调优经验，熟悉java,Scala等语言更优。 4.具备医疗行业信息化产品或者研发领域行业经验优先。 5.对技术有热情，有不错的数据思维和敏感度，有一定的数据分析能力优先，对深度学习、机器学习有一定的了解优先； 6.工作有计划性，责任心和执行能力强，具备高度的责任心、诚信的工作作风、优秀沟通能力及团队精神。",2026-03-14
数据分析师,四川鑫迈达广告有限公司,西安,4.5-6千/月,西安 1年经验 本科 招18人 03-14发布,民营公司,150-500人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",岗位职责： 1.负责视频产品的内容筛选、编辑，对于不合规视频进行反馈和处理； 2.负责视频内容筛选，具有突出的内容敏感度，能够敏锐的挖掘平台中的优质内容，抓取各类视频的热点及关键词，并填写在视频标签处，方便用户在搜索视频时进行筛选。 任职要求： 1.本科及以上学历 2.具有较强的文字编辑能力和内容概括提取能力； 3.具有较强学习能力，入职后有专业讲师进行培训； 薪资福利： 1.无责底薪3000+绩效提成=综合4-6K 2.享有六险（含养老、医疗、失业、工伤、生育、意外） 3.知名互联网公司专家和在职优秀培训师为你提供全方位岗位技能带薪培训 4.完善的晋升空间：专员→组长→经理→总监 5.完善的内部竞聘制度，多维度职业发展模式 6.优秀员工获得内推互联网大咖公司机会，享正编待遇 上班时间： 8小时轮班，双休轮休,2026-03-14
数据分析师,四川南舟数字新媒体有限公司,成都-金牛区,4.5-6千/月,成都-金牛区 在校生/应届生 本科 招3人 03-14发布,民营公司,150-500人,"广告,文字媒体/出版",岗位职责 1、协助制定销售团队年度、季度、月度计划任务，对任务数据进行核查。 2、追踪销售团队任务完成情况并进行数据分析。 3、对销售数据进行专项分析，编制相关的数据分析报表。 4、原有数据报表的整合、规范和优化，研究改进数据分析的方法，建立自动推送报表机制。 任职要求： 1、本科及以上学历，经济、管理、统计相关专业，有数据分析工作经验者优先，24-28岁 2、熟练使用Excel函数及制图、SQL查询数据等工具。熟悉VBA者优先。 3、对工作认真负责，有优秀的逻辑思维能力、沟通能力和团队合作精神。 4、积极主动，学习能力强，善于思考工作中的问题并提出建议。 5、做事细心、耐心，性格沉稳。 薪酬福利： 1、五险一金、周末双休、上午9点下午6点，基本工资3500+绩效奖金； 2、享受带薪年假，国家法定节假日，带薪国内外旅游； 3、公司提供专业的带薪岗前培训； 4、享受5A级写字楼办公环境，全天空调室内办公，每人拥有独立的工作区； 5、集团公司、横向、纵向发展空间大，岗位晋升体系完整且透明。,2026-03-14
数据分析师,四川源本盛贸易有限公司,成都-金牛区,4.5-6千/月,成都-金牛区 在校生/应届生 本科 招3人 03-14发布,民营公司,50-150人,"服装/纺织/皮革,贸易/进出口",岗位职责 1、协助制定销售团队年度、季度、月度计划任务，对任务数据进行核查。 2、追踪销售团队任务完成情况并进行数据分析。 3、对销售数据进行专项分析，编制相关的数据分析报表。 4、原有数据报表的整合、规范和优化，研究改进数据分析的方法，建立自动推送报表机制。 任职要求： 1、本科及以上学历。，24-28岁 2、熟练使用Excel函数及制图、SQL查询数据等工具。熟悉VBA者优先。 3、对工作认真负责，有优秀的逻辑思维能力、沟通能力和团队合作精神。 4、积极主动，学习能力强，善于思考工作中的问题并提出建议。 5、做事细心、耐心，性格沉稳。 薪酬福利： 1、五险一金、周末双休、上午9点下午6点，基本工资3500+绩效奖金； 2、享受带薪年假，国家法定节假日，带薪国内外旅游； 3、公司提供专业的带薪岗前培训； 4、享受5A级写字楼办公环境，全天空调室内办公，每人拥有独立的工作区； 5、集团公司、横向、纵向发展空间大，岗位晋升体系完整且透明。,2026-03-14
数据开发工程师,幻方量化,杭州-下城区,40-80万/年,杭州-下城区 在校生/应届生 本科 招若干人 03-14发布,民营公司,50-150人,金融/投资/证券,目标： 1. 构建安全、高效、稳定的数据平台，为量化研究提供有效的数据支撑。 2. 拓展数据来源，不断提升数据质量，支撑业务发展。 要求： 1.985或海外知名高校，本科及以上学历，理工科专业。 2.精通Python、bash，熟练掌握至少一种其他编程语言，能够灵活选择合适的技术来解决问题。 3.熟悉数据采集、数据清洗、数据存储、数据分析的全流程，能够根据业务特点提出架构级解决方案。 4.具有结构化思维能力、自我驱动和自我管理能力，能够针对系统的不足提出改进方案并推动实现。 5.认同开放共进的企业文化，积极创新，乐于挑战，良好的逻辑思维、沟通协调和自我学习能力，主动负责，严谨细致，勤奋踏实。 薪酬： 40-200万年收入，具体面议。,2026-03-14
数据分析师,江苏舜昊健康产业集团有限公司,南京-雨花台区,4.5-6千/月,南京-雨花台区 3-4年经验 大专 招1人 03-14发布,民营公司,50-150人,"医疗设备/器械,专业服务(咨询、人力资源、财会)",1、负责公司调研数据的分析研究，出具专业的数据分析报告，给客户提供相应的数据分析结论以及改进建议； 2、负责调研方案的具体细节跟进，在实施过程中对项目进行管理和督导，保证数据和信息的充分和真实； 3、在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的工作； 4、协助处理多个系统产生的数据，并进行分析，提交分析报告； 5、将数据和各部门进行对接，实时掌握业务推进情况。 岗位要求： 1、具有较好的文字写作能力，有相关的写作经验优先（提供文字作品） 2、具有较强的数据敏感度和行业观察力，喜欢数据统计与分析； 3、较好的语言沟通能力，能有效与客户进行沟通； 4、熟练掌握日常办公软件，熟悉统计工具spss、Excel； 5、良好的英语读写能力，较好的时间观念和管理能力； 6、为人真诚、认真，工作踏实能吃苦，有志成为行业专家 7、精通文本分析，具有较强的数据逻辑及分析能力； 8、具有较强的责任心，较强的执行力，能独立完成分析任务； 9、具备销售、市场调查、统计分析、数据分析等方面的专业知识； 10、统计学相关专业，有市场调研、统计分析领域经验者优先。,2026-03-14
大数据开发工程师,广州华央电子科技有限公司,广州-黄埔区,6-8千/月,广州-黄埔区 在校生/应届生 招若干人 03-14发布,民营公司,500-1000人,"计算机软件,电子技术/半导体/集成电路",岗位职责： 1、负责设计和开发分布式网络采集系统，各个渠道的财经信息的抓取和分析； 2、设计爬虫策略和防屏蔽规则，提升抓取的效率和质量； 3、负责爬虫逻辑的开发，快速响应业务变动。 岗位要求： 1、计算机及相关专业，专科以上学历，18-30周岁； 2、能够解决封账号、封IP、验证码识别、图像识别等问题的优先； 3、具有良好的沟通能力和团队合作意识，有数据分析、文本分析背景者优先 公司福利： 1、 基本福利样样齐全，高于行业平均水平的高薪资，五险一金等等！ 2、 行业良心企业领头羊，让你年底无忧的全年15薪！ 3、 早9晚6上班制，创意园办公，轻松宽阔的工作环境让你灵感爆发！ 4、 充足的假期时间，周末双休、国家法定节假日、带薪年假等，根据节日气氛，还有各种小礼物小红包哦~ 5、 午餐无烦恼！公司自建饭堂提供自助餐式午饭、下午茶、晚餐，新鲜无添加好营养~ 6、 活动多多，每月生日会、每周打球活动，不定时户外活动~,2026-03-14
财务分析/数据分析师,社宝信息科技（上海）有限公司,上海-静安区,7-9千/月,上海-静安区 2年经验 本科 招1人 03-14发布,民营公司,500-1000人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",1. 大学本科及以上学历，统计学、数学、财务类相关专业优先；,2026-03-14
大数据开发工程师,长沙二三三网络科技有限公司,长沙,1.5-2万/月,长沙 3-4年经验 大专 招1人 03-14发布,民营公司,150-500人,"互联网/电子商务,通信/电信/网络设备",4、开发大数据自动化运维、监控、故障处理工具，监控所有基础设施组件、应用程序，提供紧急应急措施。,2026-03-14
数据分析师,湖南潭州教育网络科技有限公司,长沙-岳麓区,4-9千/月,长沙-岳麓区 1年经验 大专 招3人 03-14发布,民营公司,5000-10000人,"教育/培训/院校,互联网/电子商务",1.负责本部门推广运营及多渠道业务数据的整理和分析，制作数据报表，固化常规数据报表，提升数据价值； 2.负责本部门数据报表使用培训，推进报表模板的使用； 3.为其他相关部门提供数据分析支持、报表分析支持、报表模型支持等； 4.熟悉公司知识、公司业务及流程，有自己的独特见解，为付费广告投放提供决策依据。 5.能够运用图表有效表达数据分析师的分析观点，使分析结果一目了然。 任职要求： 1、大专及以上学历，年龄28岁以下，有数据分析从业经验优先； 2、数学、统计学、计算机专业优先； 3、逻辑思维能力强、数据分析能力强、数据敏感度强； 4、熟练使用Excel中的函数以及透视表，对BI及数据可视化感兴趣，熟悉各类数据分析方法； 5、细心严谨、有责任感、善于思考，熟悉互联网行业商业模式者优先,2026-03-14
数据分析师,湖南潭州教育网络科技有限公司,长沙-岳麓区,3.5-6千/月,长沙-岳麓区 无需经验 大专 招3人 03-14发布,民营公司,1000-5000人,"教育/培训/院校,互联网/电子商务",岗位职责： 1.深入了解业务，分析集团业务数据 2.根据财务核算部门提供的数据，分析集团数据情况 3.监控业务发展情况，提高数据报告分析及建议 任职资格： 1.大专以上学历，年龄28岁以下，有数据分析经验优先 2.数学，统计学，计算机专业优先 3.逻辑思维能力强，有数据分析意识，数据敏感度 4.熟练使用excel中的函数以及透视表，对BI及数据可视化感兴趣，熟练各类数据分析方法 5.细心严谨，有责任心，善于思考，熟悉互联网行业商业模式优先,2026-03-14
数据分析师,湖南潭州教育网络科技有限公司北京分公司,北京-石景山区,5-9千/月,北京-石景山区 2年经验 大专 招1人 03-14发布,民营公司,,教育/培训/院校,"岗位职责： 1、负责销售业务数据分析体系的搭建，并依据数据制订销售目标提升建议。 2、负责销售业务的场景分析，专注于转化率、流程设计、销售支持等方面，帮助销售团队提升销售过程中的转化率。 3、针对销售业务问题，通过多种调研方式，深入了解分析诉求，制定完整的分析思路和解决建议。 4、负责销售团队日常业务数据统计、业务分析和月度考核及提成结算； 5、负责销售团队与公司之间的业务往来沟通，做好业务衔接和跟进； 6、负责对销售过程中存在问题的原因进行分析和解答。 配合销售完成合同管理，完成内部流程，营销支持等工作； 7、负责促销活动、电销数据的效果分析，分析出各种场景的销售流程。 8、配合销售完成合同管理，完成内部流程，营销支持等工作； 9、其他与销售支持相关的工作。 任职要求： 1、专科以上学历，数学、统计学、金融、理工类等相关专业优先； 2、二年以上数据分析相关工作经验，具备较强的数据分析能力； 3、 数据敏感，逻辑性强，反应快速敏捷，具有战略统筹分析能力者优先； 4、熟悉使用Excel、SQL、PPT等方案及数据处理工具； 5、专业的数据分析能力,能独立负责某一模块的系统性分析,可独立撰写数据分析报告； 6、沟通能力强，能够独立完成跨部门的资源沟通与协调工作。 福利待遇： 1、6000-10000 +免费提供2餐+带薪培训+五险一金+节假日休假+节日福利； 2、免费入职体检（转正后报销）。 3、地址：北京市石景山诚通街26号院金融街长安中心2号楼1401室（古城地铁200米）； 4、联系电话：18600044691 联系人：嘉琪 5、公司网址：http://www.tanzhouedu.com/ 6、HR邮箱：TanzhouNYHR@126.com",2026-03-14
电子数据分析工程师,福建中锐电子科技有限公司,福州,4-6千/月,福州 1年经验 大专 招若干人 03-14发布,民营公司,50-150人,电子技术/半导体/集成电路,1、电子数据搜索、恢复和修复； 2、用户操作行为分析； 3、电子数据一致性和相似性分析； 4、软件功能分析。 职位要求： 1、计算机、通信、信息安全相关专业，无从业经验可进行培养； 2、有一定编程能力； 3、对数据库、操作系统、文件系统有一定了解 ； 4、有较强的责任心和沟通能力，工作细致耐心、积极主动，有团队合作精神； 5、有司法鉴定、数据恢复、使用取证工具等经验者优先。,2026-03-14
数据分析师,杭州杰恩西网络技术有限公司,杭州-下城区,0.8-1万/月,杭州-下城区 1年经验 本科 招1人 03-14发布 日语精通 日语,创业公司,50-150人,"互联网/电子商务,贸易/进出口",1.了解日本市场需求 2.制定选品方案思路，实现数据统计，分析报告推进落地，给予各店铺数据支持 3.对数据指标做出正确的归因和判断 4.为选品提供切实有效的改进建议和执行方案 5.熟悉日本各电商平台规则 岗位要求： 1.有日本留学经验或产品数据分析经验； 2.日语N1，简单编程； 3.较强的数据分析能力、对日市场的觉察力、学习能力,2026-03-14
